mir,gene
hsa-let-7b-5p,H19
hsa-let-7b-5p,QKI
hsa-let-7b-5p,SOX5
hsa-let-7b-5p,RB1
hsa-let-7b-5p,IGF2
hsa-let-7d-5p,SOX5
hsa-let-7d-5p,NFIA
hsa-let-7d-5p,IGF2
hsa-let-7e-5p,H19
hsa-let-7e-5p,TCF4
hsa-let-7e-5p,IGF1
hsa-let-7e-5p,TNKS2
hsa-let-7e-5p,RB1
hsa-let-7e-5p,NFIA
hsa-let-7e-5p,IGF2
hsa-let-7e-5p,PTEN
hsa-let-7g-5p,H19
hsa-let-7g-5p,TNKS2
hsa-let-7g-5p,SOX5
hsa-let-7g-5p,RB1
hsa-let-7g-5p,IGF2
hsa-let-7i-5p,H19
hsa-let-7i-5p,IGF1
hsa-let-7i-5p,TNKS2
hsa-let-7i-5p,SOX5
hsa-let-7i-5p,RB1
hsa-let-7i-5p,IGF2
hsa-miR-100-5p,H19
hsa-miR-100-5p,NFIA
hsa-miR-100-5p,QKI
hsa-miR-100-5p,RB1
hsa-miR-100-5p,IGF2
hsa-miR-106a-5p,H19
hsa-miR-106a-5p,RB1
hsa-miR-106a-5p,PTEN
hsa-miR-106a-5p,TNKS2
hsa-miR-106a-5p,QKI
hsa-miR-106a-5p,KLF6
hsa-miR-106a-5p,TCF4
hsa-miR-106b-5p,H19
hsa-miR-106b-5p,RB1
hsa-miR-106b-5p,PTEN
hsa-miR-106b-5p,TNKS2
hsa-miR-106b-5p,QKI
hsa-miR-106b-5p,TCF4
hsa-miR-106b-5p,KLF6
hsa-miR-106b-5p,NFIA
hsa-miR-106b-5p,SOX5
hsa-miR-107,H19
hsa-miR-107,NFIA
hsa-miR-107,PTEN
hsa-miR-107,KLF6
hsa-miR-107,QKI
hsa-miR-107,IGF2
hsa-miR-10a-5p,H19
hsa-miR-10a-5p,PTEN
hsa-miR-10b-5p,H19
hsa-miR-10b-5p,PTEN
hsa-miR-1254,H19
hsa-miR-1258,RB1
hsa-miR-125a-5p,H19
hsa-miR-125a-5p,QKI
hsa-miR-126-3p,TCF4
hsa-miR-1271-5p,H19
hsa-miR-1271-5p,NFIA
hsa-miR-130a-3p,H19
hsa-miR-130a-3p,SOX5
hsa-miR-130a-3p,QKI
hsa-miR-130a-3p,KLF6
hsa-miR-130a-3p,RB1
hsa-miR-130a-3p,NFIA
hsa-miR-130a-3p,PTEN
hsa-miR-130a-3p,TCF4
hsa-miR-130b-3p,H19
hsa-miR-130b-3p,RB1
hsa-miR-130b-3p,TCF4
hsa-miR-130b-3p,PTEN
hsa-miR-130b-3p,QKI
hsa-miR-130b-3p,KLF6
hsa-miR-130b-3p,NFIA
hsa-miR-132-3p,H19
hsa-miR-132-3p,RB1
hsa-miR-132-3p,SOX5
hsa-miR-132-3p,PTEN
hsa-miR-133b,H19
hsa-miR-136-5p,H19
hsa-miR-140-5p,H19
hsa-miR-140-5p,RB1
hsa-miR-141-3p,H19
hsa-miR-141-3p,PTEN
hsa-miR-141-3p,QKI
hsa-miR-141-3p,TNKS2
hsa-miR-141-3p,KLF6
hsa-miR-141-3p,NFIA
hsa-miR-143-3p,H19
hsa-miR-143-3p,PTEN
hsa-miR-143-3p,QKI
hsa-miR-143-3p,IGF2
hsa-miR-144-3p,PTEN
hsa-miR-144-3p,IGF2
hsa-miR-144-3p,TNKS2
hsa-miR-145-5p,H19
hsa-miR-145-5p,QKI
hsa-miR-145-5p,TCF4
hsa-miR-146a-5p,H19
hsa-miR-146b-5p,H19
hsa-miR-147b,H19
hsa-miR-148a-3p,H19
hsa-miR-148a-3p,KLF6
hsa-miR-148a-3p,QKI
hsa-miR-148a-3p,TNKS2
hsa-miR-148a-3p,SOX5
hsa-miR-148a-3p,RB1
hsa-miR-148a-3p,PTEN
hsa-miR-148b-3p,H19
hsa-miR-148b-3p,KLF6
hsa-miR-148b-3p,QKI
hsa-miR-148b-3p,TNKS2
hsa-miR-148b-3p,SOX5
hsa-miR-148b-3p,NFIA
hsa-miR-148b-3p,PTEN
hsa-miR-149-5p,H19
hsa-miR-149-5p,RB1
hsa-miR-150-5p,H19
hsa-miR-150-5p,IGF2
hsa-miR-151a-3p,KLF6
hsa-miR-151a-3p,IGF2
hsa-miR-151a-3p,NFIA
hsa-miR-154-5p,QKI
hsa-miR-155-5p,TCF4
hsa-miR-155-5p,NFIA
hsa-miR-155-5p,IGF2
hsa-miR-15a-5p,H19
hsa-miR-15a-5p,SOX5
hsa-miR-15a-5p,KLF6
hsa-miR-15a-5p,TNKS2
hsa-miR-15a-5p,QKI
hsa-miR-15b-5p,H19
hsa-miR-15b-5p,TNKS2
hsa-miR-15b-5p,QKI
