Mirna,Target,energy,gap_l,gap_r
hsa-let-7b-5p,RB1,-17.27,2085,2104
hsa-let-7b-5p,RB1,-21.37,2482,2503
hsa-let-7b-5p,SOX5,-31.33,640,662
hsa-let-7b-5p,SOX5,-31.33,715,737
hsa-let-7b-5p,SOX5,-31.33,431,453
hsa-let-7b-5p,SOX5,-31.33,407,429
hsa-let-7b-5p,QKI,-21.5,10202,10221
hsa-let-7b-5p,QKI,-22.85,11548,11570
hsa-let-7b-5p,QKI,-21.5,9255,9274
hsa-let-7b-5p,QKI,-22.85,10601,10623
hsa-let-7b-5p,QKI,-21.5,7976,7995
hsa-let-7b-5p,QKI,-22.85,9322,9344
hsa-let-7b-5p,QKI,-21.5,3303,3322
hsa-let-7b-5p,QKI,-22.85,4649,4671
hsa-let-7b-5p,QKI,-21.5,3279,3298
hsa-let-7b-5p,QKI,-22.85,4625,4647
hsa-let-7d-5p,QKI,-21.49,11549,11570
hsa-let-7d-5p,QKI,-19.67,10201,10221
hsa-let-7d-5p,QKI,-27.87,13006,13028
hsa-let-7d-5p,QKI,-21.49,10602,10623
hsa-let-7d-5p,QKI,-19.67,9254,9274
hsa-let-7d-5p,QKI,-27.87,12059,12081
hsa-let-7d-5p,QKI,-21.49,9323,9344
hsa-let-7d-5p,QKI,-19.67,7975,7995
hsa-let-7d-5p,QKI,-27.87,10780,10802
hsa-let-7d-5p,QKI,-21.49,4650,4671
hsa-let-7d-5p,QKI,-19.67,3302,3322
hsa-let-7d-5p,QKI,-27.87,6107,6129
hsa-let-7d-5p,QKI,-21.49,4626,4647
hsa-let-7d-5p,QKI,-19.67,3278,3298
hsa-let-7d-5p,QKI,-27.87,6083,6105
hsa-let-7d-5p,RB1,-14.82,2080,2104
hsa-let-7e-5p,RB1,-13.88,2083,2104
hsa-let-7e-5p,QKI,-20.33,10201,10221
hsa-let-7e-5p,QKI,-15.83,11548,11570
hsa-let-7e-5p,QKI,-20.33,9254,9274
hsa-let-7e-5p,QKI,-15.83,10601,10623
